Question,Answer
How much did Apple agree to pay to settle the class-action lawsuit?,Apple agreed to pay $490 million to settle the lawsuit.
What was alleged in the class-action lawsuit against Apple?,The lawsuit alleged that Chief Executive Tim Cook defrauded shareholders by concealing falling demand for iPhones in China.
Where was the preliminary settlement filed?,"The preliminary settlement was filed with the US District Court in Oakland, California."
When did Apple make the unexpected announcement about slashing its quarterly revenue forecast?,"Apple made the announcement on January 2, 2019."
Who needs to approve the preliminary settlement according to the text?,The settlement requires approval by US District Judge Yvonne Gonzalez Rogers.
When did Apple face sales pressure in various markets?,"Apple faced sales pressure in markets like Brazil, India, Russia, and Turkey due to weakened currencies."
What was Apple's stance on China's market in the midst of trade tensions?,Apple did not consider China to be in the category of markets facing sales pressure.
"What action did Apple take after the analyst call on Nov 1, 2018?","A few days later, Apple instructed its suppliers to curb production."
When was Apple's lowered revenue forecast announced?,"Apple's lowered revenue forecast was announced after the analyst call on Nov 1, 2018, marking the company's first forecast reduction since the iPhone's launch in 2007."
How did the market respond to Apple's lowered revenue forecast?,"Shares of Apple dropped significantly by 10%, resulting in a market value loss of $74 billion the following day."
What did the Cupertino-based company do in response to the ruling?,The Cupertino-based company settled to avoid the cost and distraction of litigation.
Who represented the shareholders in the settlement?,"Shawn Williams, a partner at Robbins Geller Rudman & Dowd, represented the shareholders."
How was the settlement described by Shawn Williams?,"Shawn Williams described the settlement as an ""outstanding result"" for the class."
Which investors are covered by the settlement?,The settlement covers investors who bought Apple shares in the two months between Cook's comments and the revenue forecast.
How much net revenue did Apple post?,Apple posted $97 billion of net revenue.
How much is the payout of the company in relation to its profit?,The payout equals a little under two days of profit.
Who refused to dismiss the lawsuit mentioned in the text?,Rogers refused to dismiss the lawsuit.
Who is the lead plaintiff in the lawsuit mentioned?,The lead plaintiff is the Norfolk County Council as Administering Authority of the Norfolk Pension Fund.
Where is the Norfolk Pension Fund located?,"The Norfolk Pension Fund is located in Norwich, England."
What fees might the lawyers for the shareholders seek?,Lawyers for the shareholders may seek fees.
What is the name of the case related to Apple Inc Securities Litigation?,The case is In re Apple Inc Securities Litigation.
How much has Apple's share price increased since January 2019?,Apple's share price has more than quadrupled since January 2019.
What is Apple's current market value?,Apple's current market value is more than $2.6 trillion.
What percentage of the settlement amount does Apple owe?,Apple owes 25% of the settlement amount.
What message is displayed for visitors in the comments section?,The comments section is undergoing an overhaul and will return soon.
What was the amount Apple agreed to pay to settle the class-action lawsuit?,Apple agreed to pay $490 million.
Who was alleged to have defrauded shareholders in the class-action lawsuit settlement?,Chief Executive Tim Cook was alleged to have defrauded shareholders.
Where was the preliminary settlement filed?,"The preliminary settlement was filed with the US District Court in Oakland, California."
When did Apple make the unexpected announcement that led to the lawsuit settlement?,"Apple made the unexpected announcement on January 2, 2019."
Why was Apple slashing its quarterly revenue forecast in the announcement?,Apple blamed falling demand for iPhones in China for slashing its quarterly revenue forecast.
When did Cook reassure investors about Apple's performance in China?,"Cook reassured investors on a Nov 1, 2018 analyst call about Apple's performance in China."
